ParticipantNumber,PickUp,Scent,Receptivity,Gender,Age,Ethnicity,YearInSchool,Contraceptive
1,1,2,3.25424,2,21,4,2,2
2,1,1,4.4376,2,19,4,3,1
3,1,1,4.4376,2,21,4,1,1
4,1,1,3.91988,2,19,4,3,2
5,2,2,3.99384,2,20,1,2,1
6,1,2,2.9584,2,22,4,1,1
7,1,1,3.99384,2,21,4,3,2
8,2,2,2.9584,2,20,4,2,1
9,1,2,3.5131,2,20,2,1,1
10,2,2,3.49461,2,20,1,2,1
11,2,2,3.47612,2,21,1,2,1
12,2,2,3.10632,2,19,4,1,1
13,1,2,3.80894,2,21,2,1,1
14,1,2,3.99384,2,19,2,1,1
15,1,2,3.80894,2,20,4,2,1
16,2,2,3.3282,2,19,4,1,1
17,1,2,3.99384,2,21,3,2,1
18,1,2,4.10478,2,19,4,1,1
19,2,1,3.91988,2,20,5,3,1
20,1,2,3.47612,2,22,2,1,1
21,1,2,3.36518,2,19,4,1,2
22,2,2,3.73498,2,19,4,1,1
23,2,1,3.40216,2,19,2,1,1
24,1,1,4.28968,2,21,4,3,2
25,1,1,4.28968,2,21,2,3,2
26,1,2,3.21726,2,19,4,2,1
27,1,2,3.84592,2,19,4,1,1
28,1,2,3.3282,2,19,4,2,1
29,1,2,3.3282,2,19,4,1,1
30,1,2,3.95686,2,19,4,1,2
31,2,2,4.2527,2,39,4,2,1
32,1,2,3.47612,2,26,4,4,1
33,1,2,3.73498,2,20,4,2,2
34,2,2,4.95,2,21,1,3,1
35,1,2,3.55008,2,19,1,1,2
36,2,2,4.10478,2,20,1,2,1
37,1,2,3.47612,2,20,4,2,1
38,1,2,4.0678,2,20,2,1,2
39,1,2,3.36518,2,19,4,1,1
40,1,2,3.21726,2,20,4,2,2
41,1,2,3.55008,2,19,1,1,2
42,1,1,5,2,19,4,1,2
43,2,2,4.71495,2,19,1,1,1
44,1,2,3.80894,2,21,2,1,2
45,1,2,3.99384,2,19,2,1,2
46,1,2,3.25424,2,21,4,2,1
47,1,2,4.10478,2,19,4,1,2
48,1,2,3.47612,2,22,2,1,2
49,2,1,3.25424,2,21,4,3,2
50,2,1,3.06934,2,20,4,1,2
51,1,1,3.5131,2,19,4,1,2
52,2,1,4.32666,2,19,2,1,2
53,2,2,3.3282,2,20,1,2,1
54,1,1,4.4376,2,19,4,1,2
55,1,2,3.95686,2,19,4,1,1
56,1,1,3.698,2,20,4,2,2
57,2,1,3.698,2,20,2,2,2
58,1,1,3.43914,2,20,2,2,2
59,1,1,3.99384,2,19,2,2,2
60,2,2,3.36518,2,21,1,3,1
61,1,1,3.40216,2,20,4,2,1
62,1,2,3.73498,2,20,4,2,1
63,2,1,3.66102,2,19,2,3,2
64,2,1,3.698,2,19,2,3,2
65,1,1,3.21726,2,19,3,1,2
66,1,2,4.0678,2,23,4,1,1
67,1,1,3.698,2,20,4,3,2
68,1,1,4.32666,2,19,3,1,1
69,1,1,3.06934,2,19,4,2,2
70,2,1,3.698,2,19,2,3,2
71,1,1,3.91988,2,19,4,1,1
72,1,1,4.32666,2,20,4,1,2
73,1,1,3.25424,2,27,4,3,1
74,1,2,3.55008,2,19,1,1,1
75,1,1,4.8074,2,21,3,2,1
76,2,1,4.2527,2,19,2,1,2
77,1,1,3.698,2,20,4,3,1
78,2,1,2.88444,2,20,1,2,1
79,1,1,3.06934,2,19,4,2,1
80,2,1,3.3282,2,19,2,1,2
81,1,1,3.698,2,20,4,2,2
82,1,1,4.32666,2,20,4,1,1
83,2,1,2.84746,2,19,4,1,2
84,1,1,5,2,19,4,1,1
85,1,1,3.66102,2,19,4,1,2
86,2,1,3.55008,2,20,1,2,1
87,2,1,4.58552,2,19,4,2,2
88,2,1,3.62404,2,19,1,2,1
89,2,1,3.55008,2,19,1,2,1
90,2,1,4.28968,2,20,2,2,1
91,1,2,2.9584,2,22,4,1,2
92,2,1,2.84746,2,20,4,2,1
93,1,1,3.5131,2,19,4,1,1
94,1,1,4.4376,2,19,4,1,1
95,2,1,2.51464,2,20,3,2,1
96,1,2,3.5131,2,20,2,1,2
97,1,1,3.698,2,20,4,2,1
98,1,1,4.4376,2,19,4,3,2
99,1,1,4.4376,2,21,4,1,2
100,1,1,3.43914,2,20,2,2,1
101,2,1,2.99538,2,19,3,2,1
102,1,1,3.99384,2,19,2,2,1
103,2,1,2.9584,2,20,3,2,1
104,1,1,3.5131,2,19,1,1,2
105,1,2,3.80894,2,20,4,2,2
106,2,1,3.3282,2,24,4,2,1
107,1,1,3.3282,2,26,4,1,2
108,1,1,3.21726,2,19,3,1,1
109,1,1,4.88136,2,25,4,2,2
110,2,2,3.25424,2,20,1,1,1
111,2,1,4.03082,2,19,2,1,1
112,1,2,3.8829,2,19,4,2,1
113,2,2,3.21726,2,21,1,1,1
114,2,1,3.80894,2,22,1,3,1
115,1,2,3.5131,2,19,2,3,1
116,2,2,4.8074,2,19,1,1,1
117,1,2,3.8829,2,24,3,1,1
118,2,2,3.79045,2,19,1,2,1
119,2,1,4.36364,2,19,4,2,1
120,1,2,4.28968,2,19,4,1,1
121,1,1,4.28968,2,21,4,3,1
122,1,1,4.28968,2,21,2,3,1
123,1,1,3.99384,2,21,4,3,1
124,1,1,3.91988,2,19,4,3,1
125,1,1,3.698,2,20,4,2,1
126,1,1,3.66102,2,19,4,1,1
127,1,1,3.5131,2,19,1,1,1
128,1,1,3.3282,2,26,4,1,1
129,1,1,4.88136,2,25,4,2,1
130,1,1,5,2,20,4,1,1
131,1,1,4.9923,2,21,3,2,1
132,1,1,4.4376,2,21,4,1,1
133,1,1,4.14176,2,26,4,3,1
134,1,2,4.0678,2,20,2,1,1
135,1,2,3.21726,2,20,4,2,1
136,1,2,3.55008,2,19,1,1,1
137,1,2,3.73498,2,20,4,2,1
138,1,2,4.2527,2,21,3,2,1
139,1,2,4.03082,2,19,4,2,1
140,2,1,3.25424,2,21,4,3,1
141,2,1,3.06934,2,20,4,1,1
142,2,1,4.32666,2,19,2,1,1
143,2,1,3.698,2,20,2,2,1
144,2,1,3.66102,2,19,2,3,1
145,2,1,3.698,2,19,2,3,1
146,2,1,3.698,2,19,2,3,1
147,2,1,4.2527,2,19,2,1,1
148,2,1,3.3282,2,19,2,1,1
149,2,1,2.84746,2,19,4,1,1
150,2,1,4.58552,2,19,4,2,1
151,2,1,4.32666,2,20,4,2,1
152,2,1,3.1433,2,19,1,2,1
153,2,1,4.4376,2,19,1,2,1
154,2,1,2.66256,2,19,1,2,1
155,2,2,3.58706,2,21,1,3,1
156,2,2,4.0678,2,21,1,1,1
157,2,2,2.4037,2,20,4,2,1
158,2,2,3.29122,2,20,5,1,1
159,2,2,3.95686,2,22,3,2,1
160,2,2,4.0678,2,20,5,2,1
161,2,2,3.56857,2,20,5,2,1
162,2,2,4.0678,2,19,1,1,1
163,2,2,3.91988,2,21,3,2,1
164,2,2,3.91988,2,20,4,2,1
165,2,2,3.99384,2,19,2,2,1
166,2,2,3.3282,2,20,5,3,1
167,2,2,3.5131,2,20,5,3,1
168,1,1,3.40216,2,20,4,2,2
169,1,1,4.32666,2,19,3,1,2
170,1,1,3.91988,2,19,4,1,2
171,1,1,3.25424,2,27,4,3,2
172,1,1,4.8074,2,21,3,2,2
173,1,1,5,2,20,4,1,2
174,1,1,4.9923,2,21,3,2,2
175,1,1,4.4376,2,21,4,1,2
176,1,1,4.14176,2,26,4,3,2
177,1,2,3.3282,2,19,4,1,2
178,1,2,3.47612,2,26,4,4,2
179,1,2,3.47612,2,20,4,2,2
180,1,2,3.21726,2,19,4,2,2
181,1,2,3.84592,2,19,4,1,2
182,1,2,3.3282,2,19,4,2,2
183,1,2,3.73498,2,20,4,2,2
184,1,2,4.2527,2,21,3,2,2
185,1,2,4.03082,2,19,4,2,2
186,1,2,3.8829,2,19,4,2,2
187,1,2,3.5131,2,19,2,3,2
188,1,2,3.8829,2,24,3,1,2
189,1,2,4.28968,2,19,4,1,2
190,1,2,4.0678,2,23,4,1,2
191,1,2,3.99384,2,21,3,2,2
192,2,1,3.91988,2,20,5,3,2
193,2,1,4.32666,2,20,4,2,2
194,2,1,3.1433,2,19,1,2,2
